,Injury.Severity
924,Non-Fatal
925,Fatal(1)
926,Fatal(2)
927,Non-Fatal
928,Non-Fatal
929,Non-Fatal
930,Non-Fatal
931,Non-Fatal
932,Non-Fatal
933,Non-Fatal
934,Non-Fatal
935,Non-Fatal
936,Fatal(1)
937,Fatal(4)
938,Fatal(2)
939,Non-Fatal
940,Non-Fatal
941,Non-Fatal
942,Non-Fatal
943,Non-Fatal
944,Non-Fatal
945,Non-Fatal
946,Non-Fatal
947,Non-Fatal
948,Fatal(1)
949,Non-Fatal
950,Fatal(1)
951,Non-Fatal
952,Non-Fatal
953,Non-Fatal
954,Non-Fatal
955,Non-Fatal
956,Non-Fatal
957,Non-Fatal
958,Non-Fatal
959,Non-Fatal
960,Fatal(1)
961,Non-Fatal
962,Non-Fatal
963,Non-Fatal
964,Non-Fatal
965,Fatal(2)
966,Non-Fatal
967,Non-Fatal
968,Non-Fatal
969,Non-Fatal
970,Non-Fatal
971,Non-Fatal
972,Non-Fatal
973,Non-Fatal
974,Non-Fatal
975,Non-Fatal
976,Non-Fatal
977,Non-Fatal
978,Non-Fatal
979,Non-Fatal
980,Non-Fatal
981,Non-Fatal
982,Fatal(1)
983,Non-Fatal
984,Non-Fatal
985,Non-Fatal
986,Non-Fatal
987,Non-Fatal
988,Fatal(4)
989,Fatal(1)
990,Fatal(2)
991,Non-Fatal
992,Fatal(1)
993,Non-Fatal
994,Non-Fatal
995,Non-Fatal
996,Fatal(1)
997,Non-Fatal
998,Fatal(1)
999,Fatal(2)
1000,Non-Fatal
1001,Non-Fatal
1002,Non-Fatal
1003,Non-Fatal
1004,Non-Fatal
1005,Non-Fatal
1006,Non-Fatal
1007,Non-Fatal
1008,Non-Fatal
1009,Fatal(2)
1010,Non-Fatal
1011,Non-Fatal
1012,Non-Fatal
1013,Non-Fatal
1014,Non-Fatal
1015,Non-Fatal
1016,Non-Fatal
1017,Non-Fatal
1018,Non-Fatal
1019,Non-Fatal
1020,Non-Fatal
1021,Fatal(1)
1022,Incident
1023,Non-Fatal
1024,Non-Fatal
1025,Fatal(1)
1026,Non-Fatal
1027,Non-Fatal
1028,Non-Fatal
1029,Non-Fatal
1030,Incident
1031,Non-Fatal
1032,Non-Fatal
1033,Non-Fatal
1034,Fatal(4)
1035,Non-Fatal
1036,Non-Fatal
1037,Non-Fatal
1038,Non-Fatal
1039,Non-Fatal
1040,Non-Fatal
1041,Non-Fatal
